Company Name,Sector,Market Share (%),Stock Price ($),Revenue (M$),Profit Margin (%),VC Funding (M$),Mergers & Acquisitions,Growth Rate (%)
EcomNext,Cloud Computing,37.47,513.09,18789.8,-4.94,266.54,4,13.93
EcomNext,E-Commerce,1.95,1202.61,7996.67,24.79,340.56,8,2.74
CloudX,E-Commerce,14.06,512.02,8041.2,22.48,368.69,9,2.32
AI Ventures,E-Commerce,2.04,1016.05,42589.91,2.91,102.91,7,9.05
TechCorp,FinTech,30.63,648.43,35845.37,16.34,58.46,4,2.62
QuantumLeap,E-Commerce,10.63,1231.47,16542.14,25.36,277.65,7,14.54
QuantumLeap,Cybersecurity,7.19,421.13,10188.69,-9.22,122.33,7,5.47
InnoSoft,Artificial Intelligence,14.0,599.84,36129.35,11.69,319.57,1,3.71
AI Ventures,Cloud Computing,26.0,619.47,49754.95,26.3,96.25,6,9.04
CloudX,Cybersecurity,8.38,53.68,37610.49,27.84,494.93,7,10.27
TechCorp,FinTech,21.23,239.94,35237.58,-4.89,28.01,5,18.42
AI Ventures,Cloud Computing,12.46,1030.65,20536.09,4.18,179.46,0,1.35
EcomNext,FinTech,5.01,645.95,10514.66,-4.53,151.59,1,5.51
TechCorp,Cloud Computing,18.53,182.27,11632.59,19.86,477.21,5,11.26
AI Ventures,Cybersecurity,5.74,1436.07,30891.88,1.9,278.92,3,8.87
InnoSoft,Cloud Computing,13.04,334.31,4604.34,-7.53,186.36,10,19.51
InnoSoft,Cloud Computing,32.54,709.96,16413.18,-1.51,195.31,10,8.63
AI Ventures,Cybersecurity,13.43,923.07,36469.2,26.22,169.94,9,4.85
TechCorp,Cloud Computing,37.77,513.04,8392.42,18.16,378.83,9,13.01
TechCorp,Cloud Computing,6.63,1069.14,39725.78,7.97,91.98,1,13.02
CloudX,Cybersecurity,21.89,424.01,46109.62,9.83,266.87,2,19.67
EcomNext,Cloud Computing,16.51,213.92,28226.76,6.57,148.95,0,16.79
QuantumLeap,FinTech,21.15,464.42,14987.62,13.11,479.17,3,14.13
QuantumLeap,Cloud Computing,16.99,1476.84,3642.81,27.31,356.89,1,6.26
InnoSoft,FinTech,3.86,383.74,19662.19,20.84,68.31,10,1.77
CloudX,Cybersecurity,39.78,1159.64,19414.22,28.82,195.21,8,19.07
QuantumLeap,Cybersecurity,5.3,606.09,34021.85,-2.3,242.12,8,6.34
InnoSoft,E-Commerce,30.83,237.73,12569.74,28.2,323.33,2,19.44
InnoSoft,Cybersecurity,1.5,496.88,44709.74,-5.85,290.55,5,14.57
QuantumLeap,Artificial Intelligence,9.17,1499.7,49472.03,0.76,22.78,6,6.95
TechCorp,FinTech,28.47,1193.53,43228.32,-8.19,339.23,2,12.65
QuantumLeap,E-Commerce,13.44,456.21,14391.13,8.37,45.63,9,12.99
CloudX,Cloud Computing,18.26,769.72,31257.15,20.08,156.18,2,15.09
AI Ventures,Artificial Intelligence,8.86,1111.98,35123.54,-8.45,499.56,4,2.28
AI Ventures,E-Commerce,23.81,1314.19,42818.97,6.76,217.95,10,1.54
CloudX,FinTech,7.9,1238.18,34268.14,0.37,414.63,6,17.53
InnoSoft,FinTech,3.38,786.82,11815.87,17.45,287.81,1,13.02
EcomNext,Cloud Computing,26.16,191.01,16660.63,22.12,110.93,2,2.75
QuantumLeap,Cybersecurity,34.26,879.43,37594.06,29.42,165.73,0,9.95
EcomNext,Cloud Computing,10.65,938.86,35429.21,26.17,11.77,5,19.22
EcomNext,Artificial Intelligence,7.04,400.65,38351.18,-4.12,276.11,8,3.03
CloudX,Cloud Computing,34.58,992.19,11139.46,27.39,379.2,3,3.56
InnoSoft,Artificial Intelligence,4.45,918.3,7371.59,28.09,242.85,6,15.59
TechCorp,Artificial Intelligence,6.59,584.9,32541.43,25.8,361.22,7,8.23
AI Ventures,E-Commerce,6.66,426.72,46589.37,-7.78,265.17,4,10.58
InnoSoft,Cybersecurity,7.33,680.89,49481.52,18.68,108.71,9,6.59
CloudX,E-Commerce,33.6,1409.07,31366.44,-8.2,147.22,1,12.89
TechCorp,Cloud Computing,19.8,316.85,44524.09,0.23,335.32,4,16.12
TechCorp,Cloud Computing,31.36,96.84,40232.54,21.2,204.23,0,19.51
CloudX,E-Commerce,10.76,451.04,5505.17,29.6,425.58,1,2.06
AI Ventures,Cybersecurity,19.88,1174.92,17646.78,-6.1,73.81,4,8.99
InnoSoft,Cybersecurity,12.26,130.08,24658.65,22.07,487.9,8,12.43
AI Ventures,FinTech,14.73,903.51,17021.62,28.08,148.79,3,19.56
QuantumLeap,E-Commerce,28.58,1422.37,908.72,1.56,299.39,0,3.37
CloudX,Artificial Intelligence,36.36,1483.89,20654.38,10.39,424.3,8,17.16
TechCorp,Cybersecurity,30.63,1365.3,32702.5,10.47,284.97,5,6.34
CloudX,FinTech,37.81,1226.58,16711.49,9.31,342.86,2,11.64
TechCorp,Cybersecurity,24.86,250.39,26224.74,-3.35,393.03,2,1.46
EcomNext,Cybersecurity,8.25,623.71,33988.43,-3.81,163.31,0,18.59
EcomNext,FinTech,24.35,891.31,36728.16,5.55,179.24,4,15.46
AI Ventures,E-Commerce,35.01,53.93,17163.91,29.95,174.73,10,14.2
QuantumLeap,Artificial Intelligence,24.03,223.75,12657.33,4.46,48.87,10,3.79
AI Ventures,E-Commerce,5.62,91.16,20815.92,2.38,454.11,2,12.44
QuantumLeap,E-Commerce,8.4,635.41,30039.15,-6.55,99.05,3,18.63
EcomNext,Cloud Computing,8.81,984.51,20200.32,21.7,432.96,6,4.6
EcomNext,Cloud Computing,36.16,1306.38,2567.27,-2.19,19.62,8,16.78
EcomNext,Cybersecurity,34.06,1496.45,49671.21,-4.26,431.13,8,10.89
TechCorp,E-Commerce,23.09,1095.53,45227.18,22.71,131.26,9,17.48
TechCorp,Cybersecurity,15.6,699.01,5741.24,11.87,448.4,1,5.51
CloudX,E-Commerce,23.22,1229.89,39978.58,14.9,52.51,7,19.02
AI Ventures,Cloud Computing,36.98,548.61,24134.01,-3.25,130.65,6,10.98
TechCorp,E-Commerce,5.33,718.09,40775.42,24.93,34.15,8,17.54
TechCorp,Cloud Computing,18.43,399.55,447.03,18.92,251.71,7,8.55
CloudX,Artificial Intelligence,23.44,1247.76,36342.7,0.5,193.41,3,12.55
InnoSoft,Cloud Computing,28.23,844.23,46270.13,9.03,122.2,8,5.0
AI Ventures,FinTech,39.48,181.56,44106.28,19.53,39.31,6,14.16
QuantumLeap,Cybersecurity,24.39,1469.18,39104.88,19.75,261.53,2,12.13
QuantumLeap,FinTech,8.14,1058.77,43333.1,-6.1,109.44,2,8.4
InnoSoft,Cloud Computing,10.06,768.63,31182.21,20.66,374.14,2,1.39
QuantumLeap,Cybersecurity,14.68,304.23,33141.76,9.59,498.03,2,12.76
EcomNext,FinTech,18.63,212.81,22629.55,20.06,389.42,10,19.06
InnoSoft,Artificial Intelligence,7.52,353.22,27004.03,19.11,170.53,4,11.29
QuantumLeap,Cloud Computing,7.73,792.72,178.27,-7.11,48.84,5,9.26
InnoSoft,E-Commerce,38.77,1316.7,16456.86,8.83,435.7,6,18.79
InnoSoft,FinTech,36.97,1411.64,35670.74,18.89,94.5,8,19.39
TechCorp,Cloud Computing,28.95,868.8,29528.77,29.52,310.38,7,14.42
EcomNext,Cloud Computing,31.95,122.67,12236.48,27.95,346.7,2,2.09
AI Ventures,Artificial Intelligence,11.26,1186.07,37235.88,-7.31,37.79,8,11.56
CloudX,FinTech,31.07,144.3,37437.36,-8.6,218.69,6,18.56
TechCorp,FinTech,32.08,1484.09,20467.35,28.8,180.6,6,8.85
QuantumLeap,FinTech,7.89,1130.57,28823.98,-2.14,190.02,7,8.47
TechCorp,Cybersecurity,5.64,902.42,14232.2,9.07,395.92,9,9.98
CloudX,Cloud Computing,23.34,700.28,47253.99,7.39,452.53,3,14.27
EcomNext,Cybersecurity,19.58,117.9,36310.0,9.24,244.16,4,5.59
CloudX,E-Commerce,33.0,966.78,18009.73,17.74,99.1,4,14.82
TechCorp,Artificial Intelligence,18.21,1464.48,28926.61,-4.03,85.79,10,19.73
TechCorp,Cloud Computing,9.43,855.0,43404.13,21.43,438.2,1,12.04
AI Ventures,Artificial Intelligence,19.15,1052.05,38554.16,12.77,249.58,0,12.23
AI Ventures,Artificial Intelligence,7.07,922.74,29723.72,14.34,227.81,7,13.67
TechCorp,Cybersecurity,39.69,1396.81,1410.22,0.93,171.62,10,12.17
EcomNext,Cloud Computing,21.92,664.14,13954.5,-7.94,114.14,9,5.25
QuantumLeap,FinTech,3.92,321.5,6223.13,-9.35,71.22,4,14.0
EcomNext,FinTech,24.43,635.51,11097.43,4.33,394.32,9,2.2
CloudX,Artificial Intelligence,20.45,249.82,17430.51,21.35,216.69,1,14.17
AI Ventures,Cloud Computing,23.18,208.16,28503.34,4.26,142.01,5,2.6
CloudX,Artificial Intelligence,22.16,1143.43,21975.13,5.33,391.62,9,3.4
AI Ventures,FinTech,30.37,1466.27,35221.2,13.89,479.97,2,19.73
InnoSoft,FinTech,36.42,385.43,20435.23,0.05,263.33,8,17.23
AI Ventures,FinTech,38.48,153.05,26638.53,19.65,279.79,3,4.49
EcomNext,Cloud Computing,17.1,682.73,823.88,1.9,290.55,5,4.31
TechCorp,Artificial Intelligence,17.68,921.85,30523.88,6.08,498.38,2,14.69
CloudX,FinTech,25.2,246.78,17518.95,17.65,46.64,8,5.87
QuantumLeap,Cybersecurity,25.37,188.86,1326.09,-9.99,308.43,4,3.84
TechCorp,E-Commerce,12.9,953.46,10776.41,20.81,202.72,9,19.98
QuantumLeap,Artificial Intelligence,1.54,424.34,33629.27,27.01,387.63,1,12.94
AI Ventures,Artificial Intelligence,15.1,841.16,14597.23,-5.94,170.63,5,16.64
TechCorp,Cloud Computing,14.54,1443.68,19894.28,15.31,478.7,10,16.67
TechCorp,Artificial Intelligence,25.77,1085.97,28788.06,10.56,407.64,1,3.54
InnoSoft,Cloud Computing,38.24,370.09,30146.21,6.74,407.53,6,17.92
TechCorp,FinTech,33.32,374.91,29578.21,10.21,258.0,9,18.11
QuantumLeap,Cybersecurity,8.14,1135.58,47829.21,16.28,245.8,0,2.8
InnoSoft,Cloud Computing,19.08,185.64,10977.11,25.22,497.38,2,13.19
EcomNext,FinTech,20.46,308.42,1556.78,29.59,268.56,3,3.8
QuantumLeap,Artificial Intelligence,8.93,174.41,39485.96,22.42,6.06,9,6.61
InnoSoft,Artificial Intelligence,37.99,1320.7,29066.23,-4.02,480.91,0,12.22
TechCorp,Cloud Computing,24.15,1475.31,8715.68,-2.73,282.08,8,9.52
AI Ventures,Cloud Computing,6.63,1255.4,19860.24,-6.46,234.43,2,11.23
EcomNext,Artificial Intelligence,3.2,567.0,8847.63,28.16,168.55,3,12.65
TechCorp,Artificial Intelligence,25.7,1311.7,22363.63,16.94,41.26,7,16.09
CloudX,Artificial Intelligence,21.07,1363.11,40875.83,-8.07,432.79,8,18.31
TechCorp,Cybersecurity,1.59,1328.57,36485.73,21.04,147.89,9,6.58
QuantumLeap,Cloud Computing,27.83,165.83,3078.12,14.19,441.91,2,13.17
TechCorp,FinTech,18.62,341.74,13921.82,25.61,467.01,3,4.58
AI Ventures,Artificial Intelligence,15.87,371.72,34134.22,-3.55,471.46,9,13.55
CloudX,Cybersecurity,1.58,772.59,28988.75,4.87,171.11,9,3.08
CloudX,Cloud Computing,9.86,786.37,41148.55,15.21,134.75,4,8.92
QuantumLeap,FinTech,29.69,64.48,48229.92,-6.75,308.05,7,6.66
CloudX,Cybersecurity,2.62,693.22,38773.85,11.29,58.07,2,15.18
QuantumLeap,E-Commerce,8.47,1088.84,47496.33,-2.33,244.29,4,2.87
QuantumLeap,E-Commerce,26.85,198.21,18348.26,2.43,207.61,3,9.92
TechCorp,E-Commerce,32.08,339.49,6927.32,4.34,158.62,3,11.79
InnoSoft,E-Commerce,29.87,295.92,5302.53,20.33,270.17,0,14.05
AI Ventures,FinTech,26.09,288.57,16640.43,1.83,120.21,4,13.8
TechCorp,Cloud Computing,30.57,720.28,5040.95,-5.94,261.38,0,5.07
TechCorp,Cybersecurity,23.38,826.05,18818.27,22.47,282.19,1,11.72
InnoSoft,Cybersecurity,5.79,678.97,31728.5,12.71,366.57,10,8.26
AI Ventures,Cybersecurity,18.23,310.4,44199.84,-9.72,327.07,0,7.77
EcomNext,FinTech,16.54,380.16,26514.2,-6.4,92.82,4,16.39
CloudX,Artificial Intelligence,20.28,1492.09,25479.88,16.27,237.87,9,10.72
InnoSoft,E-Commerce,4.53,1242.75,38359.06,10.06,379.62,2,9.89
InnoSoft,Artificial Intelligence,13.0,1211.15,137.88,-1.16,1.67,7,1.1
QuantumLeap,Cloud Computing,3.25,463.19,35244.71,3.52,203.75,6,4.7
InnoSoft,Cloud Computing,20.19,940.87,12255.42,28.34,287.17,7,15.51
AI Ventures,Cybersecurity,24.91,502.15,14960.06,21.33,42.64,3,12.85
AI Ventures,E-Commerce,28.38,1299.48,41265.96,6.28,269.62,9,9.73
TechCorp,Cybersecurity,23.51,1483.27,13801.0,7.47,244.43,8,4.64
TechCorp,Artificial Intelligence,5.39,1375.57,32614.96,13.43,349.57,7,12.86
TechCorp,Cloud Computing,22.18,208.54,24333.04,7.11,123.71,0,4.2
QuantumLeap,E-Commerce,18.11,1484.7,34351.75,15.71,320.02,9,14.4
QuantumLeap,Cloud Computing,21.13,1392.85,30649.17,18.5,369.01,6,10.28
AI Ventures,Cloud Computing,7.18,1075.32,36488.95,6.28,312.09,9,13.81
AI Ventures,E-Commerce,26.4,780.21,24474.77,15.78,76.64,1,8.34
AI Ventures,E-Commerce,24.08,1453.51,22105.77,17.2,452.98,8,5.71
InnoSoft,Artificial Intelligence,39.27,1232.1,33170.56,11.89,483.87,8,15.25
InnoSoft,E-Commerce,30.51,1133.68,4320.81,29.79,412.26,2,9.11
EcomNext,Artificial Intelligence,3.67,328.45,48527.22,24.83,141.72,4,10.08
CloudX,Artificial Intelligence,3.32,241.05,38866.78,6.28,1.33,3,16.86
QuantumLeap,Artificial Intelligence,23.31,1099.28,21380.24,19.85,225.46,10,17.3
InnoSoft,Cybersecurity,37.21,261.49,44603.38,13.74,217.5,4,5.94
QuantumLeap,Cloud Computing,21.39,1360.36,33423.02,17.14,411.74,6,8.43
TechCorp,Cloud Computing,23.52,206.29,42808.09,11.24,250.97,7,10.63
AI Ventures,Cybersecurity,17.72,965.99,24565.6,21.58,10.71,0,13.44
TechCorp,FinTech,16.31,137.0,33177.19,-1.21,376.86,7,13.85
CloudX,FinTech,28.27,519.38,26905.07,-8.27,187.43,7,17.51
InnoSoft,Cybersecurity,12.55,283.27,21951.73,24.48,316.8,2,11.85
CloudX,Cybersecurity,21.48,933.34,17179.05,22.42,392.59,8,12.4
TechCorp,FinTech,26.36,886.67,39517.29,12.55,146.32,4,2.76
CloudX,FinTech,20.99,431.0,46505.11,6.66,327.09,3,9.9
AI Ventures,E-Commerce,35.5,1365.75,8239.77,-6.65,164.56,8,6.27
InnoSoft,Cloud Computing,33.52,671.39,33379.25,17.04,225.64,10,11.71
EcomNext,Artificial Intelligence,13.76,1260.69,44925.01,23.03,67.49,2,8.24
EcomNext,Cybersecurity,23.1,844.23,5664.38,29.45,448.67,9,5.05
EcomNext,Cybersecurity,38.11,1315.9,10386.57,6.83,90.73,5,6.46
InnoSoft,E-Commerce,18.45,1306.27,33141.82,-8.77,206.21,4,12.26
QuantumLeap,Cybersecurity,13.63,785.01,5820.32,25.49,81.83,8,1.96
EcomNext,Cybersecurity,29.19,1106.08,12560.8,7.14,290.42,6,8.98
QuantumLeap,Cloud Computing,27.79,794.36,49887.54,28.09,80.48,8,1.15
TechCorp,Cybersecurity,9.99,1482.13,36085.22,0.93,346.63,6,5.05
CloudX,FinTech,22.14,1087.64,18658.87,2.33,305.68,6,8.09
CloudX,Cybersecurity,34.67,1229.78,15891.71,14.69,11.68,10,3.99
InnoSoft,Cybersecurity,25.38,938.33,32371.63,-3.13,394.64,2,12.24
AI Ventures,Cybersecurity,27.27,1288.2,25733.41,-2.09,354.99,1,13.71
TechCorp,E-Commerce,10.02,554.46,24567.48,3.71,295.37,1,18.27
TechCorp,FinTech,38.15,302.93,10375.51,13.16,124.06,4,8.57
CloudX,Cloud Computing,24.63,1106.27,44104.34,-2.64,181.08,6,11.5
AI Ventures,Cloud Computing,2.19,818.15,15194.68,3.34,498.23,7,4.92
QuantumLeap,FinTech,12.5,245.33,38438.71,-8.01,219.13,3,16.95
CloudX,E-Commerce,38.62,316.19,42877.97,16.01,409.48,6,12.02
AI Ventures,Cloud Computing,39.92,724.46,30942.88,12.98,467.77,1,16.18
CloudX,Cloud Computing,10.02,1264.85,2641.88,13.87,498.16,0,8.26
QuantumLeap,Cybersecurity,8.96,1191.56,19839.8,19.92,442.46,4,1.7
QuantumLeap,Artificial Intelligence,13.65,1308.73,36993.35,19.26,105.34,3,16.51
InnoSoft,Cybersecurity,24.57,859.54,8251.59,29.26,431.89,6,10.92
InnoSoft,FinTech,15.26,498.62,49015.48,-3.33,29.63,0,11.91
TechCorp,E-Commerce,16.29,294.24,23361.93,-7.87,290.47,4,5.75
AI Ventures,Cybersecurity,18.67,387.13,17978.97,20.87,333.44,2,9.84
AI Ventures,Artificial Intelligence,25.36,1429.78,34065.33,21.63,117.79,5,9.67
EcomNext,Artificial Intelligence,15.73,279.16,26155.32,1.71,237.73,4,4.61
QuantumLeap,FinTech,22.27,395.53,30050.38,-0.44,216.93,1,3.66
InnoSoft,FinTech,18.47,1106.64,47715.9,-1.73,152.96,4,10.29
InnoSoft,Cloud Computing,18.39,404.38,41024.44,-3.94,465.82,2,17.38
QuantumLeap,Cybersecurity,31.88,189.93,40923.89,4.89,91.77,9,9.12
CloudX,Cloud Computing,19.73,1220.94,23389.66,-2.18,461.54,5,6.96
QuantumLeap,FinTech,26.3,669.68,14188.14,17.04,35.36,2,12.37
InnoSoft,Cloud Computing,14.06,1012.78,49659.21,-8.09,84.96,4,8.11
TechCorp,Cloud Computing,1.18,973.01,46622.46,1.34,487.98,2,6.3
EcomNext,Cybersecurity,20.97,291.61,39305.94,-0.76,304.92,7,11.35
InnoSoft,FinTech,14.46,721.18,42037.89,2.4,460.27,4,9.25
CloudX,E-Commerce,16.26,600.3,44443.01,6.27,4.85,8,14.27
QuantumLeap,E-Commerce,5.75,980.38,18685.35,28.52,335.57,9,8.14
InnoSoft,FinTech,36.52,542.53,17598.04,28.98,179.67,9,19.77
AI Ventures,E-Commerce,15.51,1372.26,43416.93,27.86,449.45,8,9.16
AI Ventures,E-Commerce,12.9,1243.85,34539.43,16.59,36.12,5,17.8
EcomNext,Cloud Computing,9.54,978.75,9452.78,-3.45,333.08,8,12.48
InnoSoft,Cybersecurity,17.82,123.38,43932.92,18.42,240.98,10,12.91
QuantumLeap,E-Commerce,17.35,1228.52,9058.02,25.29,347.85,7,11.07
CloudX,E-Commerce,17.27,321.66,3525.12,4.22,463.2,8,5.54
TechCorp,Artificial Intelligence,12.3,1062.32,2532.88,-5.89,360.64,5,3.13
EcomNext,Cloud Computing,19.21,689.53,1021.18,6.81,25.9,5,2.71
TechCorp,E-Commerce,4.61,1099.24,36486.49,12.25,212.96,6,8.79
TechCorp,FinTech,2.18,853.06,4431.19,7.28,286.1,8,10.0
TechCorp,Cloud Computing,27.39,669.08,40894.08,2.34,246.17,4,2.18
EcomNext,Cybersecurity,27.99,1254.24,6926.06,-7.21,402.18,4,1.37
TechCorp,Cybersecurity,32.99,473.4,16288.18,26.97,53.25,3,8.98
QuantumLeap,E-Commerce,39.58,1181.07,27004.34,19.61,301.75,4,10.94
AI Ventures,Artificial Intelligence,38.73,977.82,37594.62,15.47,322.04,9,15.33
InnoSoft,Artificial Intelligence,7.65,67.2,36604.38,3.06,401.8,6,3.78
QuantumLeap,FinTech,12.84,849.62,44134.16,22.88,420.13,7,16.78
EcomNext,Cybersecurity,23.8,1141.97,27850.36,21.14,35.84,3,1.33
AI Ventures,Artificial Intelligence,30.63,955.03,42051.21,-0.02,108.15,7,11.75
InnoSoft,FinTech,30.01,528.49,42462.13,16.88,94.12,2,19.56
CloudX,FinTech,34.45,830.83,18436.37,24.78,345.91,0,16.87
CloudX,Cybersecurity,1.85,167.53,19303.52,-2.74,434.13,8,6.15
InnoSoft,E-Commerce,7.65,1239.42,32727.93,17.86,262.32,1,12.6
AI Ventures,Cloud Computing,25.02,1422.88,27768.75,10.77,332.94,8,15.85
CloudX,Cloud Computing,10.6,1031.47,27574.14,6.23,198.7,10,9.88
InnoSoft,E-Commerce,39.2,197.32,15504.38,5.88,197.58,6,2.86
AI Ventures,Artificial Intelligence,14.73,287.47,48359.34,18.85,208.1,9,12.28
TechCorp,Artificial Intelligence,2.79,970.34,3546.4,22.12,86.82,0,2.48
CloudX,Cloud Computing,2.42,1072.5,14792.61,14.37,244.43,2,5.57
InnoSoft,Artificial Intelligence,36.13,592.78,465.11,-1.15,206.27,10,18.86
AI Ventures,Cloud Computing,2.14,848.81,22637.81,-0.94,452.34,0,4.22
AI Ventures,FinTech,37.83,1283.72,23635.43,-6.79,283.62,2,13.67
EcomNext,Cloud Computing,4.15,688.01,7869.73,-3.49,240.03,7,7.95
TechCorp,FinTech,8.78,1150.48,18641.58,24.7,123.97,7,5.39
InnoSoft,Cloud Computing,5.8,999.52,15848.55,27.29,150.36,6,5.94
AI Ventures,FinTech,14.13,585.64,11687.63,26.42,214.7,7,11.88
QuantumLeap,Cybersecurity,37.11,505.56,14420.28,13.98,12.95,3,18.66
TechCorp,E-Commerce,35.49,559.34,21031.78,4.24,432.09,2,11.26
EcomNext,Cybersecurity,26.7,406.58,39911.92,-2.3,409.64,4,10.15
InnoSoft,E-Commerce,33.87,989.81,45845.25,7.31,464.94,5,14.18
EcomNext,FinTech,18.8,1472.71,9294.47,-0.24,148.75,3,9.73
TechCorp,Cloud Computing,27.54,805.67,40477.58,18.52,40.0,4,8.66
AI Ventures,FinTech,26.87,1323.15,43558.06,18.04,345.7,2,3.09
TechCorp,FinTech,4.04,694.56,1130.92,-6.16,468.61,4,1.44
AI Ventures,E-Commerce,36.96,588.29,10821.76,-8.33,209.44,5,6.09
TechCorp,Cloud Computing,8.48,1322.43,29171.03,-9.46,372.62,3,13.25
InnoSoft,Artificial Intelligence,25.82,1181.27,33005.24,12.6,475.52,6,2.71
InnoSoft,Artificial Intelligence,15.83,1095.38,1007.78,-4.46,93.16,1,2.73
InnoSoft,Cloud Computing,5.96,502.89,11440.14,24.72,6.87,0,16.14
QuantumLeap,Cloud Computing,13.04,53.15,45785.41,6.96,107.4,0,7.52
CloudX,Cloud Computing,6.63,1204.28,45625.41,-4.65,138.88,8,19.77
InnoSoft,Artificial Intelligence,29.64,1339.48,36202.01,24.03,231.91,1,10.57
TechCorp,E-Commerce,39.94,965.06,45526.89,-6.61,346.64,8,1.32
InnoSoft,Artificial Intelligence,25.79,1377.74,35092.73,-3.38,99.34,4,5.06
EcomNext,Cybersecurity,36.69,710.48,35532.74,4.38,16.69,8,10.37
QuantumLeap,FinTech,23.05,146.0,26429.74,25.34,473.09,10,14.53
QuantumLeap,Cybersecurity,7.23,1439.9,4382.93,-7.39,94.67,2,5.49
InnoSoft,Artificial Intelligence,27.04,925.23,46040.45,-0.03,493.26,2,17.41
QuantumLeap,FinTech,30.81,574.41,46124.93,19.18,6.33,8,11.83
InnoSoft,Cybersecurity,32.59,323.73,27347.53,26.15,201.79,4,4.43
InnoSoft,Artificial Intelligence,6.71,1229.17,47839.19,29.7,360.56,8,3.5
InnoSoft,Artificial Intelligence,38.73,589.84,44108.8,-1.04,91.82,5,19.35
InnoSoft,E-Commerce,4.88,671.24,38098.61,-7.07,116.48,2,5.33
TechCorp,FinTech,4.36,512.51,7855.46,2.63,61.59,8,10.51
AI Ventures,Cloud Computing,17.88,1159.13,9933.33,10.89,187.84,4,10.15
QuantumLeap,Cloud Computing,35.76,83.04,22400.63,-3.84,329.09,9,5.62
AI Ventures,Cloud Computing,1.87,1325.76,25971.13,-5.27,392.54,7,13.15
InnoSoft,Artificial Intelligence,9.22,1060.72,33563.92,5.77,115.41,2,9.51
AI Ventures,Artificial Intelligence,14.76,757.22,10271.56,12.8,325.17,2,17.52
InnoSoft,FinTech,22.94,943.32,23795.68,5.32,390.61,5,2.99
TechCorp,Artificial Intelligence,31.42,353.88,46642.3,9.83,293.35,1,9.31
